fecha,producto,categoria,cliente,zona,cantidad,precio_unitario,total_venta
2025-01-05,Laptop Lenovo,Computo,Cliente A,Lima,2,2500.00,5000.00
2025-01-08,Mouse Logitech,Accesorios,Cliente B,Lima,10,45.00,450.00
2025-01-12,Monitor Samsung,Computo,Cliente C,Norte,3,780.00,2340.00
2025-01-18,Teclado Redragon,Accesorios,Cliente D,Sur,6,120.00,720.00
2025-01-24,Impresora Epson,Impresion,Cliente E,Centro,2,650.00,1300.00
2025-02-03,Laptop HP,Computo,Cliente F,Norte,1,2800.00,2800.00
2025-02-07,Tablet Samsung,Moviles,Cliente G,Lima,4,950.00,3800.00
2025-02-15,Auriculares Sony,Accesorios,Cliente H,Sur,8,180.00,1440.00
2025-02-21,Impresora Canon,Impresion,Cliente I,Centro,3,590.00,1770.00
2025-02-27,Smartphone Xiaomi,Moviles,Cliente J,Norte,5,1100.00,5500.00
2025-03-04,Laptop Lenovo,Computo,Cliente K,Lima,2,2500.00,5000.00
2025-03-10,Mouse Logitech,Accesorios,Cliente L,Centro,12,45.00,540.00
2025-03-14,Monitor LG,Computo,Cliente M,Sur,4,720.00,2880.00
2025-03-20,Smartphone Samsung,Moviles,Cliente N,Lima,3,1450.00,4350.00
2025-03-29,Tinta Epson,Impresion,Cliente O,Norte,15,55.00,825.00
2025-04-02,Teclado Logitech,Accesorios,Cliente P,Centro,7,150.00,1050.00
2025-04-09,Laptop Dell,Computo,Cliente Q,Sur,2,3100.00,6200.00
2025-04-16,Tablet Lenovo,Moviles,Cliente R,Norte,3,870.00,2610.00
2025-04-22,Impresora Epson,Impresion,Cliente S,Lima,2,650.00,1300.00
2025-04-30,Auriculares JBL,Accesorios,Cliente T,Centro,9,160.00,1440.00
2025-05-05,Monitor Samsung,Computo,Cliente U,Lima,5,780.00,3900.00
2025-05-11,Smartphone Xiaomi,Moviles,Cliente V,Sur,4,1100.00,4400.00
2025-05-17,Mouse Logitech,Accesorios,Cliente W,Norte,14,45.00,630.00
2025-05-23,Laptop HP,Computo,Cliente X,Centro,2,2800.00,5600.00
2025-05-28,Tinta Canon,Impresion,Cliente Y,Lima,18,50.00,900.00
2025-06-03,Tablet Samsung,Moviles,Cliente Z,Sur,5,950.00,4750.00
2025-06-08,Teclado Redragon,Accesorios,Cliente AA,Norte,8,120.00,960.00
2025-06-15,Laptop Dell,Computo,Cliente AB,Lima,1,3100.00,3100.00
2025-06-21,Impresora Canon,Impresion,Cliente AC,Centro,2,590.00,1180.00
2025-06-27,Smartphone Samsung,Moviles,Cliente AD,Norte,4,1450.00,5800.00
2025-07-04,Laptop Lenovo,Computo,Cliente AE,Sur,3,2500.00,7500.00
2025-07-09,Monitor LG,Computo,Cliente AF,Lima,2,720.00,1440.00
2025-07-13,Auriculares Sony,Accesorios,Cliente AG,Centro,10,180.00,1800.00
2025-07-19,Tablet Lenovo,Moviles,Cliente AH,Norte,6,870.00,5220.00
2025-07-25,Tinta Epson,Impresion,Cliente AI,Sur,20,55.00,1100.00
2025-08-01,Laptop HP,Computo,Cliente AJ,Lima,2,2800.00,5600.00
2025-08-06,Mouse Logitech,Accesorios,Cliente AK,Centro,16,45.00,720.00
2025-08-12,Smartphone Xiaomi,Moviles,Cliente AL,Sur,6,1100.00,6600.00
2025-08-20,Impresora Epson,Impresion,Cliente AM,Norte,3,650.00,1950.00
2025-08-27,Teclado Logitech,Accesorios,Cliente AN,Lima,9,150.00,1350.00
2025-09-03,Monitor Samsung,Computo,Cliente AO,Centro,4,780.00,3120.00
2025-09-10,Tablet Samsung,Moviles,Cliente AP,Lima,5,950.00,4750.00
2025-09-16,Auriculares JBL,Accesorios,Cliente AQ,Norte,12,160.00,1920.00
2025-09-22,Laptop Dell,Computo,Cliente AR,Sur,2,3100.00,6200.00
2025-09-29,Tinta Canon,Impresion,Cliente AS,Centro,22,50.00,1100.00
2025-10-05,Smartphone Samsung,Moviles,Cliente AT,Lima,4,1450.00,5800.00
2025-10-11,Laptop Lenovo,Computo,Cliente AU,Norte,2,2500.00,5000.00
2025-10-18,Mouse Logitech,Accesorios,Cliente AV,Sur,18,45.00,810.00
2025-10-24,Impresora Canon,Impresion,Cliente AW,Lima,4,590.00,2360.00
2025-10-30,Monitor LG,Computo,Cliente AX,Centro,3,720.00,2160.00
2025-11-04,Tablet Lenovo,Moviles,Cliente AY,Norte,4,870.00,3480.00
2025-11-09,Teclado Redragon,Accesorios,Cliente AZ,Lima,11,120.00,1320.00
2025-11-15,Laptop HP,Computo,Cliente BA,Sur,3,2800.00,8400.00
2025-11-22,Tinta Epson,Impresion,Cliente BB,Centro,25,55.00,1375.00
2025-11-28,Smartphone Xiaomi,Moviles,Cliente BC,Norte,7,1100.00,7700.00
2025-12-03,Laptop Dell,Computo,Cliente BD,Lima,2,3100.00,6200.00
2025-12-08,Auriculares Sony,Accesorios,Cliente BE,Sur,14,180.00,2520.00
2025-12-14,Monitor Samsung,Computo,Cliente BF,Norte,5,780.00,3900.00
2025-12-20,Tablet Samsung,Moviles,Cliente BG,Centro,6,950.00,5700.00
2025-12-27,Impresora Epson,Impresion,Cliente BH,Lima,3,650.00,1950.00
